JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456774.9361,8.1,,,Vis.,SSU,,NA,,NA,,,,V,,,,U ORI,,STD,,,,
2456775.29375,7.6,,,Vis.,MJOE,,73,80,13216ART,,,,V,,,,U ORI,,STD,,,,
2456775.30,8.0,,,Vis.,PPS,,000,,999999,,,,V,,,,U ORI,MCSE,STD,,,,
2456775.31,7.4,,,Vis.,KSZ,,000,,999999,,,,V,,,,U ORI,MCSE,STD,,,,
2456776.3125,8.1,,,Vis.,VFK,,80,83,2218JXL,LEIPZIG 113/450,,,Z,,,,U ORI,BAV,STD,,,,
2456776.6,8.1,,,Vis.,MOW,,NA,,NA,,,,V,,,,U ORI,AAVSO,STD,,,,
2456777.54444,7.9,,,Vis.,SLH,,7.3,8.0,10654 gd,,,,V,,,,U ORI,AAVSO,STD,,,,
2456778.3104,8.2,,,Vis.,DNO,,80,83,13422OYR,,,,V,,,,U ORI,AAVSO,STD,,,,
2456778.3368,8.2,,,Vis.,VFK,,80,83,2218JXL,LEIPZIG 113/450,,,Z,,,,U ORI,BAV,STD,,,,
2456778.4,7.8,,,Vis.,SLY,,000,,999999,,,,V,,,,U ORI,MCSE,STD,,,,
2456779.30,8.3,,,Vis.,PPS,,000,,999999,,,,V,,,,U ORI,MCSE,STD,,,,
2456779.3792,8.0,,,Vis.,LCR,,77,"""80,83""",89,,,,V,,,,U ORI,AASABADELL,STD,,,,
2456780.375,8.1,,,Vis.,ASW,,,,59.02,B20x80,,,V,,,,U ORI,BAA-VSS,STD,,,,BAAVSS
2456781.3292,8.1,,,Vis.,VFK,,80,83,2218JXL,LEIPZIG 130/650,,,Z,,,,U ORI,BAV,STD,,,,
2456781.353,8.2,,,Vis.,SRBR,,NA,,NA,,,,V,,,,U ORI,AAVSO,STD,,,,
2456783.30000,8.8,,,Vis.,KOS,,8.3,9.1,1238uf,,,,V,,,,U ORI,MCSE,STD,,,,
